timestamp,name,value
2025-05-18 12:33:21,Temperature 1,14.254413604736328
2025-05-18 12:33:21,Temperature 2,21.565204620361328
2025-05-18 12:33:21,Temperature 3,20.78550148010254
2025-05-18 12:33:21,Temperature 4,11.42724609375
2025-05-18 12:33:21,Temperature 5,16.29175567626953
2025-05-18 12:33:26,Temperature 1,14.254413604736328
2025-05-18 12:33:26,Temperature 2,21.565204620361328
2025-05-18 12:33:26,Temperature 3,20.78550148010254
2025-05-18 12:33:26,Temperature 4,11.42724609375
2025-05-18 12:33:26,Temperature 5,16.29175567626953
2025-05-18 12:33:31,Temperature 1,14.254413604736328
2025-05-18 12:33:31,Temperature 2,21.565204620361328
2025-05-18 12:33:31,Temperature 3,20.78550148010254
2025-05-18 12:33:31,Temperature 4,11.42724609375
2025-05-18 12:33:31,Temperature 5,16.29175567626953
2025-05-18 12:33:36,Temperature 1,14.254413604736328
2025-05-18 12:33:36,Temperature 2,21.565204620361328
2025-05-18 12:33:36,Temperature 3,20.78550148010254
2025-05-18 12:33:36,Temperature 4,11.42724609375
2025-05-18 12:33:36,Temperature 5,16.29175567626953
2025-05-18 12:33:41,Temperature 1,14.254413604736328
2025-05-18 12:33:41,Temperature 2,21.565204620361328
2025-05-18 12:33:41,Temperature 3,20.78550148010254
2025-05-18 12:33:41,Temperature 4,11.42724609375
2025-05-18 12:33:41,Temperature 5,16.29175567626953
2025-05-18 12:33:46,Temperature 1,14.254413604736328
2025-05-18 12:33:46,Temperature 2,21.565204620361328
2025-05-18 12:33:46,Temperature 3,20.78550148010254
2025-05-18 12:33:46,Temperature 4,11.42724609375
2025-05-18 12:33:46,Temperature 5,16.29175567626953
2025-05-18 12:33:51,Temperature 1,14.254413604736328
2025-05-18 12:33:51,Temperature 2,21.565204620361328
2025-05-18 12:33:51,Temperature 3,20.78550148010254
2025-05-18 12:33:51,Temperature 4,11.42724609375
2025-05-18 12:33:51,Temperature 5,16.29175567626953
2025-05-18 12:33:55,Temperature 1,14.254413604736328
2025-05-18 12:33:55,Temperature 2,21.565204620361328
2025-05-18 12:33:55,Temperature 3,20.78550148010254
2025-05-18 12:33:55,Temperature 4,11.42724609375
2025-05-18 12:33:55,Temperature 5,16.29175567626953
2025-05-18 12:34:01,Temperature 1,14.254413604736328
2025-05-18 12:34:01,Temperature 2,21.565204620361328
2025-05-18 12:34:01,Temperature 3,20.78550148010254
2025-05-18 12:34:01,Temperature 4,11.42724609375
2025-05-18 12:34:01,Temperature 5,16.29175567626953
2025-05-18 12:34:06,Temperature 1,14.254413604736328
2025-05-18 12:34:06,Temperature 2,21.565204620361328
2025-05-18 12:34:06,Temperature 3,20.78550148010254
2025-05-18 12:34:06,Temperature 4,11.42724609375
2025-05-18 12:34:06,Temperature 5,16.29175567626953
2025-05-18 12:34:11,Temperature 1,14.254413604736328
2025-05-18 12:34:11,Temperature 2,21.565204620361328
2025-05-18 12:34:11,Temperature 3,20.78550148010254
2025-05-18 12:34:11,Temperature 4,11.42724609375
2025-05-18 12:34:11,Temperature 5,16.29175567626953
2025-05-18 12:34:16,Temperature 1,14.254413604736328
2025-05-18 12:34:16,Temperature 2,21.565204620361328
